iter	Logloss
0	0.6891722481
1	0.6834783014
2	0.6782963015
3	0.6734680176
4	0.6687357201
5	0.663467983
6	0.658555747
7	0.6543454728
8	0.6494273636
9	0.6445245131
10	0.6403234518
11	0.6356198869
12	0.631275796
13	0.6272985494
14	0.6234669811
15	0.6188169659
16	0.6149020213
17	0.6107419572
18	0.606910101
19	0.602996711
20	0.5990690411
21	0.5950791269
22	0.5910605952
23	0.5872758973
24	0.583122858
25	0.5800302757
26	0.5767067387
27	0.5733769255
28	0.5702532498
29	0.5673687053
30	0.5645879206
31	0.5613671069
32	0.558398783
33	0.5553885982
34	0.5518851226
35	0.5491828775
36	0.546405202
37	0.5437215553
38	0.5410766602
39	0.5383734361
40	0.5354525584
41	0.5326436745
42	0.5296889971
43	0.5267096178
44	0.5244611632
45	0.5216877487
46	0.5186362788
47	0.5158440932
48	0.5132195239
49	0.5104674717
