boosted_xgb_model__gamma,boosted_xgb_model__learning_rate,boosted_xgb_model__max_depth,boosted_xgb_model__n_estimators,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
0.1,0.01,3,50,0.8916129032258062,0.8442105263157894,0.9125581395348838,0.8264340484142678
0.1,0.01,3,100,0.8883870967741935,0.8505263157894736,0.9051162790697674,0.8238195103499564
0.1,0.01,6,50,0.8903225806451611,0.8357894736842105,0.9144186046511628,0.822675701832392
0.1,0.01,6,100,0.884516129032258,0.84,0.9041860465116279,0.8165877019920172
0.1,0.1,3,50,0.8787096774193547,0.8463157894736841,0.8930232558139535,0.8112141139409852
0.1,0.1,3,100,0.8703225806451613,0.8231578947368422,0.8911627906976745,0.7948753536764497
0.1,0.1,6,50,0.8748387096774194,0.8357894736842106,0.8920930232558141,0.8042808160994865
0.1,0.1,6,100,0.8664516129032258,0.814736842105263,0.8893023255813953,0.7887531751106891
0.2,0.01,3,50,0.8909677419354837,0.8421052631578947,0.9125581395348838,0.8250080234588311
0.2,0.01,3,100,0.8883870967741935,0.8505263157894736,0.9051162790697674,0.8238195103499564
0.2,0.01,6,50,0.889032258064516,0.8357894736842105,0.9125581395348838,0.8208862281481814
0.2,0.01,6,100,0.8864516129032256,0.8421052631578947,0.9060465116279071,0.8196539282548002
0.2,0.1,3,50,0.8799999999999999,0.8484210526315789,0.8939534883720931,0.8130451067963682
0.2,0.1,3,100,0.8703225806451613,0.8189473684210528,0.8930232558139535,0.7937137457746047
0.2,0.1,6,50,0.8754838709677419,0.8378947368421054,0.8920930232558139,0.8052685956238512
0.2,0.1,6,100,0.8670967741935484,0.8147368421052632,0.890232558139535,0.7891998622135991
