boosted_gb_model__learning_rate,boosted_gb_model__max_depth,boosted_gb_model__min_samples_leaf,boosted_gb_model__n_estimators,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
0.01,3,5,50,0.8180645161290322,0.496842105263158,0.9599999999999999,0.5926750506192153
0.01,3,5,100,0.8716129032258065,0.7621052631578946,0.92,0.7810991465401999
0.01,3,10,50,0.8103225806451613,0.45684210526315794,0.9665116279069766,0.5688754977092021
0.01,3,10,100,0.8696774193548387,0.7515789473684209,0.9218604651162791,0.7761042833332789
0.01,6,5,50,0.8419354838709678,0.5768421052631579,0.9590697674418603,0.6818391050751533
0.01,6,5,100,0.8606451612903225,0.6989473684210524,0.9320930232558139,0.7510215336325223
0.01,6,10,50,0.8148387096774193,0.4842105263157894,0.9609302325581395,0.5949089651972913
0.01,6,10,100,0.8670967741935485,0.7305263157894736,0.9274418604651161,0.7654614387099917
0.1,3,5,50,0.8664516129032258,0.76,0.9134883720930231,0.7744050771360506
0.1,3,5,100,0.8587096774193549,0.7494736842105263,0.9069767441860463,0.7628949037951773
0.1,3,10,50,0.8729032258064516,0.7705263157894737,0.9181395348837209,0.7850672787515629
0.1,3,10,100,0.8587096774193548,0.7536842105263157,0.9051162790697674,0.7639766265437186
0.1,6,5,50,0.8574193548387096,0.7347368421052631,0.9116279069767442,0.7565083201351662
0.1,6,5,100,0.8548387096774194,0.7305263157894737,0.909767441860465,0.752651759820356
0.1,6,10,50,0.8619354838709679,0.7494736842105263,0.9116279069767442,0.7652533692452518
0.1,6,10,100,0.8516129032258064,0.7347368421052631,0.9032558139534883,0.749391308625659
